Date,Home,Away,Score,xG,xG.1,HomeGoals,AwayGoals
2026-01-06,Sassuolo,Juventus,0–3,0.2,2.6,0,3
2026-01-07,Napoli,Hellas Verona,2–2,1.2,1.8,2,2
2026-01-07,Bologna,Atalanta,0–2,1.1,1.4,0,2
2026-01-07,Torino,Udinese,1–2,1.1,2.1,1,2
,Home,Away,Score,,,,
2026-01-07,Parma,Inter,0–2,0.3,2.6,0,2
2026-01-07,Lazio,Fiorentina,2–2,2.7,1.7,2,2
2026-01-08,Cremonese,Cagliari,2–2,1.8,1.7,2,2
2026-01-08,Milan,Genoa,1–1,2.4,1.3,1,1
,,,,,,,
2026-01-10,Udinese,Pisa,2–2,2.1,1.5,2,2
2026-01-10,Como,Bologna,1–1,0.8,1.1,1,1
2026-01-10,Roma,Sassuolo,2–0,2.5,0.7,2,0
2026-01-10,Atalanta,Torino,2–0,2.6,0.8,2,0
2026-01-11,Lecce,Parma,1–2,0.8,1.0,1,2
2026-01-11,Fiorentina,Milan,1–1,1.9,1.5,1,1
2026-01-11,Hellas Verona,Lazio,0–1,0.5,0.9,0,1
2026-01-11,Inter,Napoli,2–2,1.4,0.7,2,2
2026-01-12,Genoa,Cagliari,3–0,1.1,1.2,3,0
2026-01-12,Juventus,Cremonese,5–0,3.3,0.9,5,0
,,,,,,,
2026-01-14,Napoli,Parma,0–0,,,0,0
2026-01-14,Inter,Lecce,1–0,,,1,0
2026-01-15,Hellas Verona,Bologna,,,,,
2026-01-15,Como,Milan,,,,,
,,,,,,,
2026-01-16,Pisa,Atalanta,,,,,
2026-01-17,Udinese,Inter,,,,,
2026-01-17,Napoli,Sassuolo,,,,,
2026-01-17,Cagliari,Juventus,,,,,
2026-01-18,Parma,Genoa,,,,,
2026-01-18,Bologna,Fiorentina,,,,,
2026-01-18,Torino,Roma,,,,,
2026-01-18,Milan,Lecce,,,,,
2026-01-19,Cremonese,Hellas Verona,,,,,
2026-01-19,Lazio,Como,,,,,
,,,,,,,
2026-01-23,Inter,Pisa,,,,,
2026-01-24,Como,Torino,,,,,
2026-01-24,Fiorentina,Cagliari,,,,,
2026-01-24,Lecce,Lazio,,,,,
2026-01-25,Sassuolo,Cremonese,,,,,
2026-01-25,Atalanta,Parma,,,,,
2026-01-25,Genoa,Bologna,,,,,
2026-01-25,Juventus,Napoli,,,,,
,Home,Away,Score,,,,
2026-01-25,Roma,Milan,,,,,
2026-01-26,Hellas Verona,Udinese,,,,,
,,,,,,,
2026-01-30,Lazio,Genoa,,,,,
2026-01-31,Pisa,Sassuolo,,,,,
2026-01-31,Napoli,Fiorentina,,,,,
2026-01-31,Cagliari,Hellas Verona,,,,,
2026-02-01,Torino,Lecce,,,,,
2026-02-01,Como,Atalanta,,,,,
2026-02-01,Cremonese,Inter,,,,,
2026-02-01,Parma,Juventus,,,,,
2026-02-02,Udinese,Roma,,,,,
2026-02-03,Bologna,Milan,,,,,
,,,,,,,
2026-02-06,Hellas Verona,Pisa,,,,,
2026-02-07,Genoa,Napoli,,,,,
2026-02-07,Fiorentina,Torino,,,,,
2026-02-08,Milan,Como,,,,,
2026-02-08,Bologna,Parma,,,,,
2026-02-08,Lecce,Udinese,,,,,
2026-02-08,Sassuolo,Inter,,,,,
2026-02-08,Juventus,Lazio,,,,,
2026-02-09,Atalanta,Cremonese,,,,,
2026-02-09,Roma,Cagliari,,,,,
,,,,,,,
