jc_date,league_name_jc,home_team_cn,away_team_cn,fused_home_prob,fused_draw_prob,fused_away_prob,spf_sp_home_close,spf_sp_draw_close,spf_sp_away_close,ev_home,ev_draw,ev_away,kelley_home,kelley_draw,kelley_away,betting_recommendation
2026-01-23,欧罗巴联赛,费耶诺德,格拉茨风暴,0.3427259822316172,0.32914449656520733,0.32812952120317534,1.31,4.75,6.45,-0.5400083840110498,0.5521676315110401,1.0941067035252714,0.0,0.15024969564926263,0.20485053426797817,"客胜 (EV:1.0941, 凯利:0.2049)"
2026-01-23,欧罗巴联赛,博洛尼亚,凯尔特人,0.1955529871530363,0.2782454308622534,0.5262015819847105,1.47,4.0,5.05,-0.698286366707336,0.11072208898003331,1.6241716292423318,0.0,0.03766057448300453,0.40921431827723154,"客胜 (EV:1.6242, 凯利:0.4092)"
2026-01-23,欧罗巴联赛,费内巴切,阿斯顿维拉,0.33548234424230206,0.39191569299620566,0.27260196276149234,2.19,3.35,2.67,-0.2599877927871713,0.3066592201065432,-0.26670970423827906,0.0,0.13315641342012294,0.0,"平局 (EV:0.3067, 凯利:0.1332)"
2026-01-23,欧罗巴联赛,比尔森,波尔图,0.0833340156176589,0.1904604201021878,0.7262055642801533,4.0,3.28,1.74,-0.6533306587787772,-0.3677840256235276,0.25832572821051736,0.0,0.0,0.3562130835776577,"客胜 (EV:0.2583, 凯利:0.3562)"
2026-01-23,欧罗巴联赛,马尔默,贝尔格莱德红星,0.13696785301132386,0.23941057253082382,0.6236215744578523,3.5,3.65,1.76,-0.5102002641711592,-0.12362838205724323,0.09562249162490359,0.0,0.0,0.1283868040076579,"客胜 (EV:0.0956, 凯利:0.1284)"
2026-01-23,欧罗巴联赛,塞萨洛尼基,皇家贝蒂斯,0.15192525652991523,0.46714296179118636,0.38093178167889846,2.5,3.25,2.38,-0.6077831215017077,0.5078503333049287,-0.09151471241213738,0.0,0.23031761147615815,0.0,"平局 (EV:0.5079, 凯利:0.2303)"
2026-01-23,欧罗巴联赛,布拉加,诺丁汉森林,0.4863423490579046,0.1398895990804226,0.3737680518616729,2.33,3.14,2.62,0.13051411983881944,-0.5495317257097236,-0.02031315003996875,0.10013358895106601,0.0,0.0,"主胜 (EV:0.1305, 凯利:0.1001)"
2026-01-23,欧罗巴联赛,尼斯,前进之鹰,0.3035603892349456,0.13744509797866516,0.5589945127863892,1.75,3.73,3.45,-0.4593939324620682,-0.4775831888487873,0.9099604477307821,0.0,0.0,0.37899227310736444,"客胜 (EV:0.9100, 凯利:0.3790)"
2026-01-23,欧罗巴联赛,乌德勒支,亨克,0.1641008434172155,0.3413343460767738,0.4945648105060107,2.62,3.3,2.25,-0.5586546744419574,0.1238752752122865,0.1105154071657536,0.0,0.05495797480580591,0.09021665891081927,"平局 (EV:0.1239, 凯利:0.0550)"
2026-01-23,欧罗巴联赛,维戈塞尔塔,里尔,0.2713083864636852,0.10483472216424757,0.6238568913720672,2.13,3.1,2.96,-0.4136708740957036,-0.6615121140650159,0.8296840704920927,0.0,0.0,0.4319471420721016,"客胜 (EV:0.8297, 凯利:0.4319)"
2026-01-23,欧罗巴联赛,罗马,斯图加特,0.27854856062030947,0.03279559928535916,0.6886558400943315,1.78,3.6,3.45,-0.494099890853932,-0.864297125721253,1.3483453953589348,0.0,0.0,0.5615765911532423,"客胜 (EV:1.3483, 凯利:0.5616)"
