Date,Home,Away,Score,HomeGoals,AwayGoals
2026-01-27,Plymouth Argyle,Mansfield Town,,,
2026-01-27,Wycombe,Wigan Athletic,,,
2026-01-27,Lincoln City,Bradford City,,,
2026-01-27,Port Vale,AFC Wimbledon,,,
2026-01-27,Huddersfield,Luton Town,,,
2026-01-27,Rotherham Utd,Northampton,,,
2026-01-27,Reading,Exeter City,,,
2026-01-27,Doncaster,Leyton Orient,,,
,,,,,
2026-01-31,Bradford City,Doncaster,,,
2026-01-31,AFC Wimbledon,Bolton,,,
2026-01-31,Northampton,Reading,,,
2026-01-31,Wigan Athletic,Lincoln City,,,
2026-01-31,Exeter City,Rotherham Utd,,,
2026-01-31,Leyton Orient,Port Vale,,,
2026-01-31,Stockport,Plymouth Argyle,,,
2026-01-31,Burton Albion,Cardiff City,,,
2026-01-31,Barnsley,Stevenage,,,
2026-01-31,P'borough Utd,Huddersfield,,,
2026-01-31,Mansfield Town,Wycombe,,,
2026-01-31,Luton Town,Blackpool,,,
,,,,,
2026-02-03,Barnsley,Northampton,,,
,,,,,
2026-02-07,Luton Town,Bradford City,,,
2026-02-07,Port Vale,Burton Albion,,,
2026-02-07,Mansfield Town,Exeter City,,,
2026-02-07,Wycombe,Doncaster,,,
2026-02-07,Bolton,Barnsley,,,
2026-02-07,P'borough Utd,Wigan Athletic,,,
2026-02-07,Plymouth Argyle,Lincoln City,,,
2026-02-07,Stockport,Leyton Orient,,,
2026-02-07,AFC Wimbledon,Reading,,,
2026-02-07,Northampton,Stevenage,,,
2026-02-07,Huddersfield,Blackpool,,,
2026-02-07,Rotherham Utd,Cardiff City,,,
,,,,,
,Home,Away,Score,,
2026-02-10,Stevenage,Barnsley,,,
,,,,,
2026-02-10,Wigan Athletic,Reading,,,
2026-02-10,Mansfield Town,P'borough Utd,,,
,,,,,
2026-02-14,Stevenage,Huddersfield,,,
2026-02-14,Reading,Wycombe,,,
2026-02-14,Blackpool,Plymouth Argyle,,,
2026-02-14,Bradford City,P'borough Utd,,,
2026-02-14,Barnsley,AFC Wimbledon,,,
2026-02-14,Exeter City,Northampton,,,
2026-02-14,Doncaster,Port Vale,,,
2026-02-14,Lincoln City,Bolton,,,
2026-02-14,Wigan Athletic,Rotherham Utd,,,
2026-02-14,Leyton Orient,Mansfield Town,,,
2026-02-14,Cardiff City,Luton Town,,,
2026-02-14,Burton Albion,Stockport,,,
,,,,,
2026-02-17,Cardiff City,AFC Wimbledon,,,
2026-02-17,Leyton Orient,Plymouth Argyle,,,
