Date,Home,Away,Score,xG,xG.1,HomeGoals,AwayGoals
2026-01-25,Famalicão,Tondela,,,,,
2026-01-25,Benfica,Estrela,,,,,
2026-01-25,Braga,Alverca,,,,,
2026-01-26,Porto,Gil Vicente FC,,,,,
,,,,,,,
2026-02-01,Tondela,Benfica,,,,,
2026-02-01,AVS Futebol,Braga,,,,,
2026-02-01,Alverca,Estrela,,,,,
2026-02-01,Gil Vicente FC,Famalicão,,,,,
2026-02-01,Vitória,Moreirense,,,,,
2026-02-01,Casa Pia,Porto,,,,,
2026-02-01,Sporting CP,Nacional,,,,,
,Home,Away,Score,,,,
2026-02-01,Santa Clara,Estoril,,,,,
2026-02-01,Rio Ave,Arouca,,,,,
,,,,,,,
2026-02-08,Braga,Rio Ave,,,,,
2026-02-08,Arouca,Vitória,,,,,
2026-02-08,Porto,Sporting CP,,,,,
2026-02-08,Benfica,Alverca,,,,,
2026-02-08,Famalicão,AVS Futebol,,,,,
2026-02-08,Moreirense,Gil Vicente FC,,,,,
2026-02-08,Nacional,Casa Pia,,,,,
2026-02-08,Estoril,Tondela,,,,,
2026-02-08,Estrela,Santa Clara,,,,,
,,,,,,,
2026-02-15,Nacional,Porto,,,,,
2026-02-15,Rio Ave,Moreirense,,,,,
2026-02-15,Sporting CP,Famalicão,,,,,
2026-02-15,Santa Clara,Benfica,,,,,
2026-02-15,AVS Futebol,Estoril,,,,,
2026-02-15,Vitória,Estrela,,,,,
2026-02-15,Gil Vicente FC,Braga,,,,,
2026-02-15,Casa Pia,Arouca,,,,,
2026-02-15,Tondela,Alverca,,,,,
,,,,,,,
2026-02-22,Famalicão,Casa Pia,,,,,
2026-02-22,Estrela,Tondela,,,,,
2026-02-22,Benfica,AVS Futebol,,,,,
2026-02-22,Alverca,Santa Clara,,,,,
2026-02-22,Arouca,Nacional,,,,,
2026-02-22,Estoril,Gil Vicente FC,,,,,
2026-02-22,Moreirense,Sporting CP,,,,,
2026-02-22,Braga,Vitória,,,,,
2026-02-22,Porto,Rio Ave,,,,,
,,,,,,,
2026-03-01,Nacional,Braga,,,,,
2026-03-01,AVS Futebol,Estrela,,,,,
2026-03-01,Sporting CP,Estoril,,,,,
2026-03-01,Rio Ave,Famalicão,,,,,
2026-03-01,Tondela,Santa Clara,,,,,
2026-03-01,Casa Pia,Moreirense,,,,,
2026-03-01,Gil Vicente FC,Benfica,,,,,
,Home,Away,Score,,,,
2026-03-01,Vitória,Alverca,,,,,
2026-03-01,Porto,Arouca,,,,,
,,,,,,,
2026-03-08,Benfica,Porto,,,,,
2026-03-08,Alverca,AVS Futebol,,,,,
2026-03-08,Estrela,Gil Vicente FC,,,,,
2026-03-08,Tondela,Rio Ave,,,,,
2026-03-08,Moreirense,Nacional,,,,,
2026-03-08,Santa Clara,Vitória,,,,,
2026-03-08,Braga,Sporting CP,,,,,
2026-03-08,Famalicão,Arouca,,,,,
2026-03-08,Estoril,Casa Pia,,,,,
,,,,,,,
2026-03-15,Nacional,Estoril,,,,,
2026-03-15,Vitória,Famalicão,,,,,
2026-03-15,AVS Futebol,Santa Clara,,,,,
2026-03-15,Gil Vicente FC,Alverca,,,,,
2026-03-15,Arouca,Benfica,,,,,
2026-03-15,Casa Pia,Braga,,,,,
2026-03-15,Rio Ave,Estrela,,,,,
2026-03-15,Porto,Moreirense,,,,,
2026-03-15,Sporting CP,Tondela,,,,,
,,,,,,,
2026-03-22,Estrela,Casa Pia,,,,,
2026-03-22,Benfica,Vitória,,,,,
2026-03-22,Alverca,Sporting CP,,,,,
2026-03-22,Estoril,Rio Ave,,,,,
2026-03-22,Braga,Porto,,,,,
2026-03-22,Santa Clara,Gil Vicente FC,,,,,
2026-03-22,Tondela,AVS Futebol,,,,,
2026-03-22,Moreirense,Arouca,,,,,
