Date,Home,Away,Score,xG,xG.1,HomeGoals,AwayGoals
2025-11-30,Le Havre,Lille,0–1,1.2,1.5,0,1
2025-11-30,Angers,Lens,1–2,1.3,1.9,1,2
2025-11-30,Lyon,Nantes,3–0,2.3,1.0,3,0
,,,,,,,
2025-12-05,Brest,Monaco,1–0,1.5,0.6,1,0
2025-12-05,Lille,Marseille,1–0,0.3,0.5,1,0
2025-12-06,Nantes,Lens,1–2,1.2,2.3,1,2
2025-12-06,Toulouse,Strasbourg,1–0,0.5,0.1,1,0
2025-12-06,Paris S-G,Rennes,5–0,2.2,0.2,5,0
2025-12-07,Nice,Angers,0–1,1.3,0.9,0,1
2025-12-07,Le Havre,Paris FC,0–0,1.8,1.2,0,0
2025-12-07,Auxerre,Metz,3–1,1.9,0.6,3,1
2025-12-07,Lorient,Lyon,1–0,2.5,0.4,1,0
,,,,,,,
2025-12-12,Angers,Nantes,4–1,2.2,0.4,4,1
2025-12-13,Rennes,Brest,3–1,2.2,0.8,3,1
2025-12-13,Metz,Paris S-G,2–3,0.6,1.8,2,3
2025-12-13,Paris FC,Toulouse,0–3,0.5,2.5,0,3
2025-12-14,Lyon,Le Havre,1–0,2.5,1.4,1,0
2025-12-14,Lens,Nice,2–0,1.6,0.8,2,0
2025-12-14,Auxerre,Lille,3–4,2.7,0.5,3,4
2025-12-14,Strasbourg,Lorient,0–0,0.7,0.5,0,0
2025-12-14,Marseille,Monaco,1–0,1.8,2.2,1,0
,,,,,,,
,Home,Away,Score,,,,
2026-01-02,Toulouse,Lens,0–3,0.7,1.6,0,3
2026-01-03,Monaco,Lyon,1–3,0.5,1.4,1,3
2026-01-03,Nice,Strasbourg,1–1,2.6,1.4,1,1
2026-01-03,Lille,Rennes,0–2,0.8,1.5,0,2
2026-01-04,Marseille,Nantes,0–2,0.7,3.6,0,2
2026-01-04,Lorient,Metz,1–1,1.4,0.4,1,1
2026-01-04,Le Havre,Angers,2–1,1.0,0.5,2,1
2026-01-04,Brest,Auxerre,2–0,1.9,0.7,2,0
