Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
,,,,,,,,,,,
8,Fri,2023-09-29,18:00 (23:00),Al-Hazem,1–3,Al-Taawoun,959,Ar-Rass Stadium,Faisal Suleiman Al Balawi,Match Report,
8,Fri,2023-09-29,18:00 (23:00),Al-Ta'ee,1–2,Al-Nassr,10898,Prince Abdul Aziz bin Musa'ed Stadium,Matt Conger,Match Report,
8,Fri,2023-09-29,18:00 (23:00),Al-Fayha,0–0,Al-Ittihad,10081,King Fahd International Stadium,Bastian Dankert,Match Report,
8,Fri,2023-09-29,21:00 (02:00),Al-Hilal,2–0,Al-Shabab,14769,Prince Faisal bin Fahd Stadium,Iván Barton,Match Report,
8,Sat,2023-09-30,15:00 (20:00),Abha,0–1,Al-Riyadh SC,210,Prince Sultan bin Abdul Aziz Stadium,Mohammed Salem Al Dagash,Match Report,
8,Sat,2023-09-30,18:00 (23:00),Al-Raed,1–2,Al Okhdood SC,1618,Prince Abdullah bin Abdul Aziz Stadium,Shukri Hussein Al Hunfush,Match Report,
8,Sat,2023-09-30,18:00 (23:00),Al-Fateh,5–1,Al-Wehda,2885,Prince Abdullah bin Jalawi Stadium,Mamdouh Mufreh Al Shahdan,Match Report,
8,Sat,2023-09-30,21:00 (02:00),Al-Khaleej,0–2,Damac,1881,Prince Mohammed bin Fahad bin Abdulaziz ...,Mohammed Khaled Al Hoish,Match Report,
8,Sat,2023-09-30,21:00 (02:00),Al-Ahli,0–0,Al-Ettifaq,14045,Prince Abdullah Al Faisal Stadium,Irfan Peljto,Match Report,
,,,,,,,,,,,
9,Thu,2023-10-05,15:00 (20:00),Damac,4–1,Al-Hazem,312,Damac Club Stadium,Abdulrahman Mohammed Al Sultan,Match Report,
9,Thu,2023-10-05,18:00 (23:00),Al-Riyadh SC,2–2,Al-Shabab,1684,Prince Faisal bin Fahd Stadium,Raed Ali Al Zahrani,Match Report,
9,Thu,2023-10-05,18:00 (23:00),Al-Taawoun,3–0,Al-Ta'ee,3244,Al Taawoun Stadium,Sami Ahmed Al Jurays,Match Report,
9,Thu,2023-10-05,21:00 (02:00),Al-Ettifaq,1–2,Al-Fateh,9827,Prince Mohammed bin Fahad bin Abdulaziz ...,Abdulsamad Ali Bakri,Match Report,
9,Fri,2023-10-06,18:00 (23:00),Al-Nassr,2–2,Abha,21197,Al Awwal Park Stadium,Mario Escobar,Match Report,
9,Fri,2023-10-06,21:00 (02:00),Al-Ittihad,0–1,Al-Ahli,55764,King Abdullah Sports City,Danny Makkelie,Match Report,
9,Sat,2023-10-07,18:00 (23:00),Al Okhdood SC,0–3,Al-Hilal,7585,Prince Hathloul bin Abdulaziz Sports Cit...,Halil Umut Meler,Match Report,
9,Sat,2023-10-07,21:00 (02:00),Al-Wehda,1–1,Al-Fayha,937,King Abdul Aziz Stadium,Khalid Saleh Al Turais,Match Report,
9,Sat,2023-10-07,21:00 (02:00),Al-Khaleej,0–0,Al-Raed,2053,Prince Mohammed bin Fahad bin Abdulaziz ...,Abdullah Saleh Al Harbi,Match Report,
,,,,,,,,,,,
