match_id,match_num,match_num_str,jc_date,business_date,match_time,league_name_jc,league_abb_name,league_id,home_team_cn,home_team_abb,home_team_id,away_team_cn,away_team_abb,away_team_id,full_score_raw,half_score_raw,hcp_sp_home_now,hcp_sp_draw_now,hcp_sp_away_now,hcp_line_now,spf_sp_home_now,spf_sp_draw_now,spf_sp_away_now,match_status,sell_status,weekday,back_color,bettingSingle,poolStatus,hcp_p_home_now,hcp_p_draw_now,hcp_p_away_now,hcp_p_home_minus_away_now,spf_p_home_now,spf_p_draw_now,spf_p_away_now,spf_p_home_minus_away_now,bonus_isCancel,spf_sp_home_open,spf_sp_draw_open,spf_sp_away_open,spf_sp_home_close,spf_sp_draw_close,spf_sp_away_close,spf_p_home_close,spf_p_draw_close,spf_p_away_close,spf_p_home_minus_away_close,hcp_sp_home_open,hcp_sp_draw_open,hcp_sp_away_open,hcp_line_open,hcp_sp_home_close,hcp_sp_draw_close,hcp_sp_away_close,hcp_line_close,hcp_p_home_close,hcp_p_draw_close,hcp_p_away_close,hcp_p_home_minus_away_close,bonus_score,home_team_short_name,away_team_short_name,home_goal_avg_cnt,away_goal_avg_cnt,home_goal_avg_ratio,away_goal_avg_ratio,home_loss_goal_avg_cnt,away_loss_goal_avg_cnt,home_loss_goal_avg_ratio,away_loss_goal_avg_ratio,home_win_cnt,home_draw_cnt,home_loss_cnt,away_win_cnt,away_draw_cnt,away_loss_cnt,home_score_ratio,away_score_ratio,total_leg_cnt,same_home_win_cnt,same_home_draw_cnt,same_home_loss_cnt,same_away_win_cnt,same_away_draw_cnt,same_away_loss_cnt,same_home_score_ratio,same_away_score_ratio,home_win_rate,away_win_rate,home_away_goal_diff,home_away_loss_goal_diff,home_team_fbref,away_team_fbref,home_GF,home_GA,home_xG,home_xGA,home_Pts,home_Home.xG,home_Home.xGA,home_Away.xG,home_Away.xGA,home_def_strength,home_off_buildup,home_tempo,away_GF,away_GA,away_xG,away_xGA,away_Pts,away_Home.xG,away_Home.xGA,away_Away.xG,away_Away.xGA,away_def_strength,away_off_buildup,away_tempo,tempo_diff
2037158,4011,周四011,2026-01-23,2026-01-22,04:00,欧罗巴联赛,欧罗巴,70,尼斯,尼斯,186,前进之鹰,前进之鹰,872,,,3.25,3.55,1.85,-1.0,1.75,3.73,3.45,Selling,1,周四,CC9933,,,0.2723126360526588,0.2493003006115891,0.4783870633357519,-0.2060744272830931,0.5059665401930525,0.23738376550612386,0.25664969430082374,0.2493168458922288,0,1.75,3.73,3.45,1.75,3.73,3.45,0.5059665401930525,0.23738376550612386,0.25664969430082374,0.2493168458922288,3.25,3.55,3.25,-1.0,3.25,3.55,1.85,-1.0,0.2723126360526588,0.2493003006115891,0.4783870633357519,-0.2060744272830931,,尼斯,前进之鹰,0.7,1.3,35.0,65.0,2.3,2.0,53.5,46.5,1,2,7,0,7,3,17.0,23.0,10,3,2,5,1,3,6,37.0,20.0,0.1,0.0,-0.6000000000000001,0.2999999999999998,Nice,Go Ahead Eag,20.0,30.0,20.7,30.8,18.0,12.8,13.9,7.8,16.9,-1.3499256820616,-0.972822270651911,-0.8212259696569422,28.0,31.0,23.9,32.8,20.0,13.4,12.9,10.5,19.9,-1.5490778407177235,-0.533504239039443,0.08625032760026076,-0.9074762972572029
2037159,4012,周四012,2026-01-23,2026-01-22,04:00,欧罗巴联赛,欧罗巴,70,乌德勒支,乌德勒支,255,亨克,亨克,230,,,1.5,3.95,4.78,1.0,2.62,3.3,2.25,Selling,1,周四,CC9933,,,0.5904741055791844,0.22423067300475355,0.18529522141606206,0.4051788841631224,0.33802239825184377,0.26836929800600934,0.39360830374214695,-0.05558590549030318,0,2.62,3.3,2.25,2.62,3.3,2.25,0.33802239825184377,0.26836929800600934,0.39360830374214695,-0.05558590549030318,1.5,3.95,1.5,1.0,1.5,3.95,4.78,1.0,0.5904741055791844,0.22423067300475355,0.18529522141606206,0.4051788841631224,,乌德勒支,亨克,1.2,1.4,46.2,53.8,1.5,2.0,42.9,57.1,1,4,5,2,3,5,23.0,30.0,10,3,3,4,4,3,3,40.0,50.0,0.1,0.2,-0.19999999999999996,-0.5,Utrecht,,28.0,23.0,23.0,25.4,23.0,14.8,11.1,8.3,14.3,-1.356687158093063,-0.5157186903303064,-0.15463196838269436,,,,,,,,,,,,,
2037160,4013,周四013,2026-01-23,2026-01-22,04:00,欧罗巴联赛,欧罗巴,70,维戈塞尔塔,塞尔塔,508,里尔,里尔,180,,,4.8,3.8,1.52,-1.0,2.18,3.18,2.81,Selling,1,周四,CC9933,,,0.18446601941747573,0.23300970873786403,0.5825242718446602,-0.3980582524271844,0.4062835318723288,0.2785214149313449,0.3151950531963263,0.0910884786760025,0,2.18,3.18,2.81,2.18,3.18,2.81,0.4062835318723288,0.2785214149313449,0.3151950531963263,0.0910884786760025,4.8,3.8,4.8,-1.0,4.8,3.8,1.52,-1.0,0.18446601941747573,0.23300970873786403,0.5825242718446602,-0.3980582524271844,,塞尔塔,里尔,1.5,1.6,48.4,51.6,0.6,1.3,31.6,68.4,5,3,2,6,0,4,60.0,60.0,10,5,2,3,5,0,5,57.0,50.0,0.5,0.6,-0.10000000000000009,-0.7000000000000001,Celta Vigo,Lille,25.0,20.0,24.4,24.8,29.0,13.1,12.4,11.3,12.4,-0.7947936735459054,-0.3177872695603871,-0.2596441967711326,33.0,22.0,29.6,23.0,32.0,17.0,9.3,12.6,13.7,-2.373193596485508,0.8140305014872784,1.5338297761725657,-1.7934739729436981
2037161,4014,周四014,2026-01-23,2026-01-22,04:00,欧罗巴联赛,欧罗巴,70,罗马,罗马,132,斯图加特,斯图加特,152,,,3.6,3.55,1.76,-1.0,1.84,3.5,3.33,Selling,1,周四,CC9933,,,0.24633338590127737,0.2498028702097461,0.5038637438889765,-0.2575303579876991,0.48117016621116165,0.252958030236725,0.2658718035521134,0.21529836265904828,0,1.84,3.5,3.33,1.84,3.5,3.33,0.48117016621116165,0.252958030236725,0.2658718035521134,0.21529836265904828,3.6,3.55,3.6,-1.0,3.6,3.55,1.76,-1.0,0.24633338590127737,0.2498028702097461,0.5038637438889765,-0.2575303579876991,,罗马,斯图加特,1.6,2.2,42.1,57.9,0.8,1.4,36.4,63.6,6,0,4,6,2,2,60.0,67.0,10,6,0,4,6,1,3,60.0,63.0,0.6,0.6,-0.6000000000000001,-0.5999999999999999,Roma,Stuttgart,24.0,12.0,25.5,22.9,39.0,12.9,8.4,12.6,14.5,-0.7205914114639307,1.1646989578002178,0.8994578777465566,32.0,25.0,24.4,22.3,32.0,10.3,10.0,14.1,12.3,-2.844003829040884,0.03710089074054103,1.340641802787929,-0.4411839250413724
2037196,5001,周五001,2026-01-23,2026-01-23,16:35,澳大利亚超级联赛,澳超,2,纽卡斯尔喷气机,纽喷气机,1136,惠灵顿凤凰,惠灵顿,1139,,,,,,,,,,Define,,周五,FF7000,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,纽喷气机,惠灵顿,1.8,1.6,52.9,47.1,1.5,1.8,45.5,54.5,6,0,4,4,1,5,60.0,43.0,10,5,0,5,3,3,4,50.0,40.0,0.6,0.4,0.19999999999999996,-0.30000000000000004,,Wellington,,,,,,,,,,,,,19.0,22.0,,,15.0,,,,,-0.46420112068343217,,0.48755201225409434,
2037197,5002,周五002,2026-01-23,2026-01-23,23:00,U23亚洲杯,亚洲杯23,118,越南U23,越南23,2278,韩国U23,韩国23,1632,,,,,,,,,,Define,,周五,cc9900,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,越南23,韩国23,1.3,2.2,37.1,62.9,0.9,0.8,52.9,47.1,7,1,2,6,2,2,73.0,67.0,10,5,2,2,7,0,2,63.0,78.0,0.7,0.6,-0.9000000000000001,0.09999999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,
2037198,5003,周五003,2026-01-24,2026-01-23,01:30,德国乙级联赛,德乙,34,比勒费尔德,比勒费,138,基尔,基尔,697,,,,,,,,,,Define,,周五,DB31EE,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,比勒费,基尔,1.1,1.5,42.3,57.7,1.0,1.3,43.5,56.5,2,4,4,4,4,2,33.0,53.0,10,5,1,4,3,4,3,53.0,43.0,0.2,0.4,-0.3999999999999999,-0.30000000000000004,Arminia,Holstein Kiel,27.0,24.0,,,19.0,,,,,-0.23988034896582866,,0.2256125640155449,20.0,22.0,,,20.0,,,,,-0.4520756735635617,,-0.08247513755243932,0.3080877015679842
2037199,5004,周五004,2026-01-24,2026-01-23,01:30,德国乙级联赛,德乙,34,达姆施塔特,达姆施塔,833,纽伦堡,纽伦堡,149,,,,,,,,,,Define,,周五,DB31EE,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,达姆施塔,纽伦堡,1.8,1.5,54.5,45.5,1.5,1.3,53.6,46.4,5,3,2,5,3,2,60.0,60.0,10,7,2,1,3,2,5,77.0,37.0,0.5,0.5,0.30000000000000004,0.19999999999999996,Darmstadt 98,Nürnberg,29.0,17.0,,,33.0,,,,,-0.19137856048634683,,0.3858266120143649,19.0,23.0,,,22.0,,,,,-0.13681404844692976,,-0.24708706553761986,0.6329136775519848
2037200,5005,周五005,2026-01-24,2026-01-23,03:00,法国甲级联赛,法甲,32,欧塞尔,欧塞尔,174,巴黎圣日尔曼,巴黎圣曼,187,,,,,,,,,,Define,,周五,6B2B2B,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,欧塞尔,巴黎圣曼,0.8,2.1,27.6,72.4,1.7,0.9,65.4,34.6,1,2,7,5,3,2,17.0,60.0,10,3,1,6,5,3,2,33.0,60.0,0.1,0.5,-1.3,0.7999999999999999,Auxerre,Paris S G,14.0,27.0,20.3,24.0,12.0,13.0,9.7,7.4,14.3,-2.2341576104608887,-1.6741548345766055,-2.0805997128580334,,,,,,,,,,,,,
2037201,5006,周五006,2026-01-24,2026-01-23,03:00,法国乙级联赛,法乙,81,波城FC,波城FC,2664,格勒诺布尔,格勒诺布,451,,,,,,,,,,Define,,周五,5BC992,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,波城FC,格勒诺布,1.2,1.4,46.2,53.8,2.0,1.3,60.6,39.4,2,3,5,5,2,3,30.0,57.0,10,4,2,4,4,1,5,47.0,43.0,0.2,0.5,-0.19999999999999996,0.7,,Grenoble,,,,,,,,,,,,,19.0,22.0,,,21.0,,,,,-0.05193591860783659,,-0.8460022587958915,
2037202,5007,周五007,2026-01-24,2026-01-23,03:00,法国乙级联赛,法乙,81,阿纳西,阿纳西,2707,克莱蒙,克莱蒙,199,,,,,,,,,,Define,,周五,5BC992,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,阿纳西,克莱蒙,1.3,1.2,52.0,48.0,1.1,1.0,52.4,47.6,4,1,5,3,4,3,43.0,43.0,10,3,4,3,2,3,5,43.0,30.0,0.4,0.3,0.10000000000000009,0.10000000000000009,,Clermont Foot,,,,,,,,,,,,,20.0,22.0,,,22.0,,,,,-0.3368839259247924,,-0.28103789348284863,
2037203,5008,周五008,2026-01-24,2026-01-23,03:00,荷兰乙级联赛,荷乙,80,罗达JC,罗达JC,253,奥斯,奥斯,545,,,,,,,,,,Define,,周五,BE2B8F,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,罗达JC,奥斯,1.6,1.2,57.1,42.9,2.3,1.5,60.5,39.5,2,4,4,2,3,5,33.0,30.0,10,2,5,3,3,5,2,37.0,47.0,0.2,0.2,0.40000000000000013,0.7999999999999998,Roda JC,,36.0,30.0,,,34.0,,,,,0.02687948767132138,,0.34853766045562934,,,,,,,,,,,,,
2037204,5009,周五009,2026-01-24,2026-01-23,03:00,荷兰乙级联赛,荷乙,80,坎布尔,坎布尔,1256,埃因霍温FC,埃因FC,749,,,,,,,,,,Define,,周五,BE2B8F,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,坎布尔,埃因FC,2.4,2.2,52.2,47.8,0.9,1.8,33.3,66.7,7,2,1,5,2,3,77.0,57.0,10,8,2,0,4,1,5,87.0,43.0,0.7,0.5,0.19999999999999973,-0.9,Cambuur,,46.0,22.0,,,47.0,,,,,0.06325582903093276,,2.0858619196944583,,,,,,,,,,,,,
2037205,5010,周五010,2026-01-24,2026-01-23,03:30,德国甲级联赛,德甲,37,圣保利,圣保利,715,汉堡,汉堡,142,,,,,,,,,,Define,,周五,990099,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,圣保利,汉堡,1.0,1.0,50.0,50.0,1.4,1.6,46.7,53.3,2,3,5,2,4,4,30.0,33.0,10,3,3,4,1,3,6,40.0,20.0,0.2,0.2,0.0,-0.20000000000000018,,Hamburger SV,,,,,,,,,,,,,17.0,27.0,18.7,25.0,16.0,10.7,9.4,8.0,15.6,-2.0766841063102,-1.4098911991092036,-1.1231582702269975,
2037206,5011,周五011,2026-01-24,2026-01-23,03:45,意大利甲级联赛,意甲,40,国际米兰,国际米兰,123,比萨,比萨,2448,,,,,,,,,,Define,,周五,0066FF,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,国际米兰,比萨,1.4,0.8,63.6,36.4,0.9,1.7,34.6,65.4,6,2,2,0,5,5,67.0,17.0,10,6,1,3,0,6,4,63.0,20.0,0.6,0.0,0.5999999999999999,-0.7999999999999999,Inter,Pisa,43.0,17.0,35.3,16.3,46.0,21.2,8.6,14.2,7.7,-2.619261967027606,2.904632419080724,2.443142596588118,15.0,30.0,21.9,29.1,13.0,9.5,12.2,12.4,16.9,1.0385769042507818,-1.2495635605930782,-2.510516706826908,4.9536593034150265
2037207,5012,周五012,2026-01-24,2026-01-23,04:00,英格兰冠军联赛,英冠,20,德比郡,德比郡,46,西布罗姆维奇,西布罗姆,20,,,,,,,,,,Define,,周五,CC3300,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,德比郡,西布罗姆,1.3,1.1,54.2,45.8,1.1,1.9,36.7,63.3,4,3,3,2,1,7,50.0,23.0,10,4,2,4,0,1,9,47.0,3.0,0.4,0.2,0.19999999999999996,-0.7999999999999998,Derby County,West Brom,35.0,35.0,26.2,32.8,35.0,15.3,15.8,10.9,16.9,4.178169917695241,-0.3129653762289826,-1.0836674036906713,29.0,35.0,31.8,28.1,31.0,16.6,8.9,15.2,19.2,2.430550965406144,2.315470309998265,1.0270214732487934,-2.1106888769394647
2037208,5013,周五013,2026-01-24,2026-01-23,04:00,西班牙甲级联赛,西甲,62,莱万特,莱万特,33,埃尔切,埃尔切,30,,,,,,,,,,Define,,周五,006633,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,莱万特,埃尔切,0.7,1.5,31.8,68.2,1.3,1.3,50.0,50.0,2,2,6,3,3,4,27.0,40.0,10,0,4,6,2,2,6,13.0,27.0,0.2,0.3,-0.8,0.0,Levante,Elche,21.0,30.0,22.6,30.3,14.0,9.8,17.0,12.7,13.3,0.31461328604480215,-1.8840423919613254,-2.2163907783057684,25.0,24.0,21.4,27.4,23.0,16.0,13.1,5.4,14.3,-1.6465149406753645,-0.09123180276172838,1.2730093493374959,-3.4894001276432642
