Date,Home,Away,Score,HomeGoals,AwayGoals
2026-03-14,Kaiserslautern,Karlsruher,,,
2026-03-14,Magdeburg,Darmstadt 98,,,
2026-03-14,Greuther Fürth,Elversberg,,,
2026-03-14,Hertha BSC,Bochum,,,
,,,,,
2026-03-21,Bochum,Holstein Kiel,,,
2026-03-21,Karlsruher,Greuther Fürth,,,
2026-03-21,Düsseldorf,Hertha BSC,,,
2026-03-21,Nürnberg,Kaiserslautern,,,
2026-03-21,Paderborn 07,Dresden,,,
2026-03-21,Hannover 96,BTSV,,,
2026-03-21,Darmstadt 98,Schalke 04,,,
2026-03-21,Elversberg,Arminia,,,
2026-03-21,Preußen Münster,Magdeburg,,,
,,,,,
2026-04-04,Dresden,Hertha BSC,,,
2026-04-04,Holstein Kiel,Preußen Münster,,,
2026-04-04,Hannover 96,Elversberg,,,
2026-04-04,Kaiserslautern,Düsseldorf,,,
2026-04-04,Arminia,Darmstadt 98,,,
2026-04-04,Schalke 04,Karlsruher,,,
2026-04-04,BTSV,Nürnberg,,,
2026-04-04,Magdeburg,Bochum,,,
2026-04-04,Greuther Fürth,Paderborn 07,,,
,,,,,
,Home,Away,Score,,
2026-04-11,Elversberg,Schalke 04,,,
2026-04-11,Nürnberg,Dresden,,,
2026-04-11,Bochum,BTSV,,,
2026-04-11,Karlsruher,Arminia,,,
2026-04-11,Preußen Münster,Greuther Fürth,,,
2026-04-11,Hertha BSC,Kaiserslautern,,,
2026-04-11,Darmstadt 98,Hannover 96,,,
2026-04-11,Paderborn 07,Magdeburg,,,
2026-04-11,Düsseldorf,Holstein Kiel,,,
,,,,,
2026-04-18,Hannover 96,Paderborn 07,,,
2026-04-18,Schalke 04,Preußen Münster,,,
2026-04-18,Elversberg,Karlsruher,,,
2026-04-18,Greuther Fürth,Darmstadt 98,,,
2026-04-18,Holstein Kiel,Kaiserslautern,,,
2026-04-18,BTSV,Hertha BSC,,,
2026-04-18,Arminia,Nürnberg,,,
2026-04-18,Magdeburg,Düsseldorf,,,
2026-04-18,Dresden,Bochum,,,
,,,,,
2026-04-25,Preußen Münster,Arminia,,,
2026-04-25,Kaiserslautern,BTSV,,,
2026-04-25,Nürnberg,Magdeburg,,,
2026-04-25,Karlsruher,Hannover 96,,,
2026-04-25,Hertha BSC,Holstein Kiel,,,
2026-04-25,Düsseldorf,Dresden,,,
2026-04-25,Darmstadt 98,Elversberg,,,
2026-04-25,Paderborn 07,Schalke 04,,,
2026-04-25,Bochum,Greuther Fürth,,,
,,,,,
2026-05-02,Elversberg,Paderborn 07,,,
2026-05-02,Greuther Fürth,Nürnberg,,,
2026-05-02,Karlsruher,Darmstadt 98,,,
2026-05-02,Magdeburg,Hertha BSC,,,
2026-05-02,Hannover 96,Preußen Münster,,,
2026-05-02,Holstein Kiel,BTSV,,,
2026-05-02,Dresden,Kaiserslautern,,,
2026-05-02,Schalke 04,Düsseldorf,,,
2026-05-02,Arminia,Bochum,,,
,,,,,
,Home,Away,Score,,
2026-05-09,Hertha BSC,Greuther Fürth,,,
2026-05-09,Nürnberg,Schalke 04,,,
2026-05-09,Bochum,Hannover 96,,,
2026-05-09,BTSV,Dresden,,,
2026-05-09,Holstein Kiel,Magdeburg,,,
2026-05-09,Kaiserslautern,Arminia,,,
2026-05-09,Düsseldorf,Elversberg,,,
2026-05-09,Preußen Münster,Darmstadt 98,,,
2026-05-09,Paderborn 07,Karlsruher,,,
,,,,,
2026-05-17,Darmstadt 98,Paderborn 07,,,
2026-05-17,Arminia,Hertha BSC,,,
2026-05-17,Magdeburg,Kaiserslautern,,,
2026-05-17,Elversberg,Preußen Münster,,,
2026-05-17,Karlsruher,Bochum,,,
2026-05-17,Hannover 96,Nürnberg,,,
2026-05-17,Schalke 04,BTSV,,,
2026-05-17,Greuther Fürth,Düsseldorf,,,
2026-05-17,Dresden,Holstein Kiel,,,
