Date,Home,Away,Score,HomeGoals,AwayGoals
2025-12-21,Helmond Sport,Willem II,2–2,2,2
2025-12-22,Jong Utrecht,Roda JC,1–3,1,3
2025-12-22,Jong Ajax,RKC Waalwijk,0–2,0,2
,,,,,
2026-01-09,Vitesse,FC Eindhoven,,,
2026-01-09,Willem II,ADO Den Haag,,,
2026-01-09,Dordrecht,Helmond Sport,,,
2026-01-09,MVV Maastricht,Almere City,,,
,Home,Away,Score,,
2026-01-09,Emmen,Cambuur,,,
2026-01-10,RKC Waalwijk,Jong Utrecht,,,
2026-01-11,Roda JC,VVV-Venlo,,,
2026-01-11,De Graafschap,Den Bosch,,,
2026-01-12,Jong PSV,Oss,,,
2026-01-12,Jong AZ,Jong Ajax,1–2,1,2
,,,,,
2026-01-16,Helmond Sport,Vitesse,,,
2026-01-16,VVV-Venlo,Jong AZ,,,
2026-01-16,ADO Den Haag,Cambuur,,,
2026-01-17,Oss,Emmen,,,
2026-01-18,Den Bosch,MVV Maastricht,,,
2026-01-18,RKC Waalwijk,Dordrecht,,,
2026-01-18,Almere City,De Graafschap,,,
2026-01-18,FC Eindhoven,Willem II,,,
2026-01-19,Jong Utrecht,Jong PSV,,,
2026-01-19,Jong Ajax,Roda JC,,,
,,,,,
2026-01-23,Vitesse,ADO Den Haag,,,
2026-01-23,Willem II,VVV-Venlo,,,
2026-01-23,Roda JC,Oss,,,
2026-01-23,De Graafschap,RKC Waalwijk,,,
2026-01-23,Cambuur,FC Eindhoven,,,
2026-01-23,Dordrecht,Den Bosch,,,
2026-01-23,MVV Maastricht,Jong Utrecht,,,
2026-01-24,Emmen,Jong Ajax,,,
,,,,,
2026-01-26,ADO Den Haag,Vitesse,,,
,,,,,
2026-01-26,Jong PSV,Helmond Sport,,,
2026-01-26,Jong AZ,Almere City,,,
,,,,,
2026-01-30,Almere City,Roda JC,,,
2026-01-30,FC Eindhoven,MVV Maastricht,,,
2026-01-30,Vitesse,Dordrecht,,,
2026-01-30,ADO Den Haag,Jong AZ,,,
2026-01-30,Den Bosch,Emmen,,,
2026-01-30,RKC Waalwijk,Oss,,,
2026-01-31,Helmond Sport,De Graafschap,,,
2026-02-02,Jong Ajax,Willem II,,,
,Home,Away,Score,,
2026-02-02,Jong Utrecht,VVV-Venlo,,,
2026-02-02,Jong PSV,Cambuur,,,
,,,,,
2026-02-06,De Graafschap,Jong Ajax,,,
2026-02-06,Roda JC,ADO Den Haag,,,
2026-02-06,Emmen,Jong Utrecht,,,
2026-02-06,MVV Maastricht,Jong PSV,,,
2026-02-06,Oss,Vitesse,,,
2026-02-06,Helmond Sport,Den Bosch,,,
2026-02-07,VVV-Venlo,FC Eindhoven,,,
2026-02-08,Cambuur,Almere City,,,
2026-02-08,Willem II,RKC Waalwijk,,,
2026-02-09,Jong AZ,Dordrecht,,,
,,,,,
2026-02-12,Den Bosch,FC Eindhoven,,,
2026-02-13,Dordrecht,Emmen,,,
2026-02-13,Almere City,Helmond Sport,,,
2026-02-13,RKC Waalwijk,Roda JC,,,
2026-02-13,Jong PSV,De Graafschap,,,
2026-02-13,Oss,Jong AZ,,,
2026-02-13,ADO Den Haag,MVV Maastricht,,,
2026-02-14,Vitesse,VVV-Venlo,,,
2026-02-16,Jong Utrecht,Willem II,,,
2026-02-16,Jong Ajax,Cambuur,,,
,,,,,
2026-02-20,VVV-Venlo,Oss,,,
2026-02-20,Helmond Sport,ADO Den Haag,,,
2026-02-20,Cambuur,RKC Waalwijk,,,
2026-02-20,Emmen,Jong PSV,,,
2026-02-20,Dordrecht,Jong Ajax,,,
2026-02-20,De Graafschap,Jong Utrecht,,,
2026-02-20,Willem II,Vitesse,,,
2026-02-21,FC Eindhoven,Almere City,,,
2026-02-22,Roda JC,MVV Maastricht,,,
2026-02-23,Jong AZ,Den Bosch,,,
,,,,,
2026-02-27,RKC Waalwijk,FC Eindhoven,,,
2026-02-27,Jong Utrecht,Almere City,,,
2026-02-27,ADO Den Haag,VVV-Venlo,,,
2026-02-27,MVV Maastricht,De Graafschap,,,
,Home,Away,Score,,
2026-02-27,Jong Ajax,Helmond Sport,,,
2026-02-27,Emmen,Willem II,,,
2026-02-27,Vitesse,Jong AZ,,,
2026-02-27,Den Bosch,Roda JC,,,
2026-02-27,Jong PSV,Dordrecht,,,
2026-02-27,Oss,Cambuur,,,
,,,,,
2026-03-06,Helmond Sport,Oss,,,
2026-03-06,VVV-Venlo,RKC Waalwijk,,,
2026-03-06,Dordrecht,MVV Maastricht,,,
2026-03-06,Roda JC,Jong PSV,,,
2026-03-06,FC Eindhoven,Jong Ajax,,,
2026-03-07,Almere City,ADO Den Haag,,,
2026-03-08,De Graafschap,Vitesse,,,
2026-03-08,Willem II,Den Bosch,,,
2026-03-08,Cambuur,Jong Utrecht,,,
2026-03-09,Jong AZ,Emmen,,,
,,,,,
2026-03-13,Vitesse,Almere City,,,
2026-03-13,RKC Waalwijk,Jong AZ,,,
2026-03-13,Emmen,ADO Den Haag,,,
2026-03-13,MVV Maastricht,VVV-Venlo,,,
2026-03-13,Jong Ajax,Den Bosch,,,
2026-03-13,Oss,Willem II,,,
2026-03-13,Cambuur,Roda JC,,,
2026-03-13,Jong Utrecht,Helmond Sport,,,
2026-03-13,Jong PSV,FC Eindhoven,,,
2026-03-14,De Graafschap,Dordrecht,,,
,,,,,
2026-03-16,Jong AZ,MVV Maastricht,,,
2026-03-16,Roda JC,Vitesse,,,
2026-03-16,Den Bosch,Jong PSV,,,
2026-03-16,Helmond Sport,Cambuur,,,
2026-03-17,Almere City,RKC Waalwijk,,,
2026-03-17,Dordrecht,Oss,,,
2026-03-17,VVV-Venlo,Jong Ajax,,,
2026-03-17,ADO Den Haag,Jong Utrecht,,,
,,,,,
2026-03-20,Emmen,VVV-Venlo,,,
2026-03-20,Jong PSV,Vitesse,,,
,Home,Away,Score,,
2026-03-20,Cambuur,Jong AZ,,,
2026-03-20,Jong Ajax,Almere City,,,
2026-03-20,Roda JC,Helmond Sport,,,
2026-03-20,Oss,FC Eindhoven,,,
2026-03-20,Jong Utrecht,Dordrecht,,,
2026-03-21,RKC Waalwijk,Den Bosch,,,
2026-03-22,De Graafschap,ADO Den Haag,,,
2026-03-22,MVV Maastricht,Willem II,,,
,,,,,
2026-03-27,FC Eindhoven,Emmen,,,
2026-03-27,Willem II,De Graafschap,,,
,,,,,
2026-04-03,ADO Den Haag,Jong Ajax,,,
2026-04-03,Vitesse,Emmen,,,
2026-04-03,FC Eindhoven,De Graafschap,,,
2026-04-03,Jong AZ,Helmond Sport,,,
2026-04-03,Dordrecht,Roda JC,,,
2026-04-03,Almere City,Oss,,,
2026-04-03,Den Bosch,Jong Utrecht,,,
2026-04-03,VVV-Venlo,Cambuur,,,
2026-04-03,MVV Maastricht,RKC Waalwijk,,,
2026-04-03,Willem II,Jong PSV,,,
,,,,,
2026-04-06,Helmond Sport,RKC Waalwijk,,,
2026-04-06,Almere City,Den Bosch,,,
2026-04-06,Cambuur,Dordrecht,,,
2026-04-06,Roda JC,Willem II,,,
2026-04-06,ADO Den Haag,FC Eindhoven,,,
2026-04-06,De Graafschap,Jong AZ,,,
2026-04-06,Oss,Jong Utrecht,,,
2026-04-06,Vitesse,Jong Ajax,,,
2026-04-06,Emmen,MVV Maastricht,,,
2026-04-06,Jong PSV,VVV-Venlo,,,
,,,,,
2026-04-10,Den Bosch,Cambuur,,,
2026-04-10,MVV Maastricht,Helmond Sport,,,
2026-04-10,FC Eindhoven,Roda JC,,,
2026-04-10,RKC Waalwijk,Emmen,,,
2026-04-11,VVV-Venlo,De Graafschap,,,
2026-04-12,Dordrecht,ADO Den Haag,,,
,Home,Away,Score,,
2026-04-12,Willem II,Almere City,,,
2026-04-13,Jong AZ,Jong PSV,,,
2026-04-13,Jong Utrecht,Vitesse,,,
