Date,Home,Away,Score,xG,xG.1,HomeGoals,AwayGoals
2026-01-17,Excelsior,Telstar,,,,,
2026-01-17,Fortuna Sittard,PSV Eindhoven,,,,,
2026-01-17,NAC Breda,NEC Nijmegen,,,,,
2026-01-18,Heerenveen,Groningen,,,,,
2026-01-18,Heracles Almelo,Twente,,,,,
2026-01-18,Volendam,Utrecht,,,,,
2026-01-18,Feyenoord,Sparta R'dam,,,,,
,,,,,,,
2026-01-21,AZ Alkmaar,Excelsior,,,,,
,,,,,,,
2026-01-24,Ajax,Volendam,,,,,
2026-01-24,NEC Nijmegen,Zwolle,,,,,
2026-01-24,PSV Eindhoven,NAC Breda,,,,,
2026-01-24,Twente,Excelsior,,,,,
2026-01-25,Telstar,AZ Alkmaar,,,,,
2026-01-25,Groningen,Fortuna Sittard,,,,,
2026-01-25,Feyenoord,Heracles Almelo,,,,,
,Home,Away,Score,,,,
2026-01-25,Utrecht,Sparta R'dam,,,,,
,,,,,,,
2026-01-30,NAC Breda,Twente,,,,,
2026-01-31,AZ Alkmaar,NEC Nijmegen,,,,,
2026-01-31,Zwolle,Telstar,,,,,
2026-01-31,Sparta R'dam,Groningen,,,,,
2026-02-01,Excelsior,Ajax,,,,,
2026-02-01,PSV Eindhoven,Feyenoord,,,,,
2026-02-01,Heracles Almelo,Fortuna Sittard,,,,,
2026-02-01,Heerenveen,Utrecht,,,,,
2026-02-01,Volendam,Go Ahead Eag,,,,,
,,,,,,,
2026-02-06,NAC Breda,Excelsior,,,,,
2026-02-07,NEC Nijmegen,Heracles Almelo,,,,,
2026-02-07,Zwolle,Volendam,,,,,
2026-02-07,Twente,Heerenveen,,,,,
2026-02-07,Fortuna Sittard,Sparta R'dam,,,,,
2026-02-08,Utrecht,Feyenoord,,,,,
2026-02-08,Go Ahead Eag,Telstar,,,,,
2026-02-08,AZ Alkmaar,Ajax,,,,,
2026-02-08,Groningen,PSV Eindhoven,,,,,
,,,,,,,
2026-02-11,Go Ahead Eag,Heerenveen,,,,,
,,,,,,,
2026-02-13,Volendam,PSV Eindhoven,,,,,
2026-02-14,Heracles Almelo,NAC Breda,,,,,
2026-02-14,Excelsior,AZ Alkmaar,,,,,
2026-02-14,Ajax,Fortuna Sittard,,,,,
2026-02-14,Groningen,Utrecht,,,,,
2026-02-15,Feyenoord,Go Ahead Eag,,,,,
2026-02-15,Heerenveen,Zwolle,,,,,
2026-02-15,Telstar,Twente,,,,,
2026-02-15,Sparta R'dam,NEC Nijmegen,,,,,
,,,,,,,
2026-02-20,Fortuna Sittard,Excelsior,,,,,
2026-02-21,PSV Eindhoven,Heerenveen,,,,,
2026-02-21,NAC Breda,Volendam,,,,,
2026-02-21,Ajax,NEC Nijmegen,,,,,
2026-02-22,Twente,Groningen,,,,,
2026-02-22,Utrecht,Zwolle,,,,,
,Home,Away,Score,,,,
2026-02-22,Go Ahead Eag,Heracles Almelo,,,,,
2026-02-22,AZ Alkmaar,Sparta R'dam,,,,,
2026-02-22,Feyenoord,Telstar,,,,,
,,,,,,,
2026-02-27,Telstar,NAC Breda,,,,,
2026-02-28,Heerenveen,Sparta R'dam,,,,,
2026-02-28,Heracles Almelo,PSV Eindhoven,,,,,
2026-02-28,NEC Nijmegen,Fortuna Sittard,,,,,
2026-03-01,Zwolle,Ajax,,,,,
2026-03-01,Twente,Feyenoord,,,,,
2026-03-01,Volendam,Groningen,,,,,
2026-03-01,Utrecht,AZ Alkmaar,,,,,
2026-03-01,Excelsior,Go Ahead Eag,,,,,
,,,,,,,
2026-03-06,NEC Nijmegen,Volendam,,,,,
2026-03-07,Groningen,Ajax,,,,,
2026-03-07,Heracles Almelo,Utrecht,,,,,
2026-03-07,PSV Eindhoven,AZ Alkmaar,,,,,
2026-03-07,Excelsior,Heerenveen,,,,,
2026-03-08,Sparta R'dam,Zwolle,,,,,
2026-03-08,Go Ahead Eag,Twente,,,,,
2026-03-08,Fortuna Sittard,Telstar,,,,,
2026-03-08,NAC Breda,Feyenoord,,,,,
,,,,,,,
2026-03-13,Zwolle,Groningen,,,,,
2026-03-14,Volendam,Fortuna Sittard,,,,,
2026-03-14,PSV Eindhoven,NEC Nijmegen,,,,,
2026-03-14,Heerenveen,Telstar,,,,,
2026-03-14,Ajax,Sparta R'dam,,,,,
2026-03-15,Twente,Utrecht,,,,,
2026-03-15,Feyenoord,Excelsior,,,,,
2026-03-15,AZ Alkmaar,Heracles Almelo,,,,,
2026-03-15,Go Ahead Eag,NAC Breda,,,,,
,,,,,,,
2026-03-20,Heracles Almelo,Excelsior,,,,,
2026-03-21,Fortuna Sittard,Twente,,,,,
2026-03-21,Sparta R'dam,Volendam,,,,,
2026-03-21,Zwolle,NAC Breda,,,,,
2026-03-22,NEC Nijmegen,Heerenveen,,,,,
2026-03-22,Feyenoord,Ajax,,,,,
,Home,Away,Score,,,,
2026-03-22,Utrecht,Go Ahead Eag,,,,,
2026-03-22,Groningen,AZ Alkmaar,,,,,
2026-03-22,Telstar,PSV Eindhoven,,,,,
,,,,,,,
2026-04-04,PSV Eindhoven,Utrecht,,,,,
2026-04-04,AZ Alkmaar,Fortuna Sittard,,,,,
2026-04-04,Telstar,Groningen,,,,,
2026-04-04,Excelsior,NEC Nijmegen,,,,,
2026-04-04,Ajax,Twente,,,,,
2026-04-05,Go Ahead Eag,Zwolle,,,,,
2026-04-05,Volendam,Feyenoord,,,,,
2026-04-05,Heerenveen,Heracles Almelo,,,,,
2026-04-05,NAC Breda,Sparta R'dam,,,,,
,,,,,,,
2026-04-10,Twente,Volendam,,,,,
2026-04-11,Utrecht,Telstar,,,,,
2026-04-11,Sparta R'dam,PSV Eindhoven,,,,,
2026-04-11,Groningen,Go Ahead Eag,,,,,
2026-04-11,Heracles Almelo,Ajax,,,,,
2026-04-12,Fortuna Sittard,NAC Breda,,,,,
2026-04-12,NEC Nijmegen,Feyenoord,,,,,
2026-04-12,Zwolle,Excelsior,,,,,
2026-04-12,AZ Alkmaar,Heerenveen,,,,,
,,,,,,,
2026-04-22,Telstar,Sparta R'dam,,,,,
2026-04-23,Go Ahead Eag,AZ Alkmaar,,,,,
2026-04-23,PSV Eindhoven,Zwolle,,,,,
2026-04-25,Feyenoord,Groningen,,,,,
2026-04-25,Heerenveen,Fortuna Sittard,,,,,
2026-04-25,NAC Breda,Ajax,,,,,
2026-04-25,Twente,NEC Nijmegen,,,,,
2026-04-26,Excelsior,Utrecht,,,,,
2026-04-26,Heracles Almelo,Volendam,,,,,
,,,,,,,
2026-05-02,Utrecht,NAC Breda,,,,,
2026-05-02,Groningen,Excelsior,,,,,
2026-05-02,Ajax,PSV Eindhoven,,,,,
2026-05-02,NEC Nijmegen,Telstar,,,,,
2026-05-03,Volendam,Heerenveen,,,,,
2026-05-03,Fortuna Sittard,Feyenoord,,,,,
,Home,Away,Score,,,,
2026-05-03,Zwolle,Heracles Almelo,,,,,
2026-05-03,AZ Alkmaar,Twente,,,,,
2026-05-03,Sparta R'dam,Go Ahead Eag,,,,,
,,,,,,,
2026-05-10,NAC Breda,Heerenveen,,,,,
2026-05-10,Twente,Sparta R'dam,,,,,
2026-05-10,Feyenoord,AZ Alkmaar,,,,,
2026-05-10,Go Ahead Eag,PSV Eindhoven,,,,,
2026-05-10,Fortuna Sittard,Zwolle,,,,,
2026-05-10,Excelsior,Volendam,,,,,
2026-05-10,Telstar,Heracles Almelo,,,,,
2026-05-10,Ajax,Utrecht,,,,,
2026-05-10,Groningen,NEC Nijmegen,,,,,
,,,,,,,
2026-05-17,Utrecht,Fortuna Sittard,,,,,
2026-05-17,AZ Alkmaar,NAC Breda,,,,,
2026-05-17,NEC Nijmegen,Go Ahead Eag,,,,,
2026-05-17,Volendam,Telstar,,,,,
2026-05-17,Sparta R'dam,Excelsior,,,,,
2026-05-17,Heerenveen,Ajax,,,,,
2026-05-17,Zwolle,Feyenoord,,,,,
2026-05-17,PSV Eindhoven,Twente,,,,,
2026-05-17,Heracles Almelo,Groningen,,,,,
